Date,Open,High,Low,Close
날짜,시가,고가,저가,종가
20221121,121416,122678,119279,120056
20221122,118307,120736,115879,116365
20221123,117919,124233,117919,124233
20221124,126369,127729,125495,127341
20221125,127341,131032,125592,126467
20221128,126369,130158,123358,126467
20221129,126758,131615,126564,131421
20221130,131420,136957,130352,135986
20221201,137831,139385,135791,137443
20221202,137443,137831,128701,130158
20221205,130838,131226,123844,124524
20221206,122484,124038,120541,120639
20221207,119182,121804,118696,119668
20221208,119279,120444,117336,117628
20221209,118599,119279,110245,110829
20221212,110731,113742,109274,109954
20221213,110828,114325,108303,109663
20221214,110731,115976,110051,115977
20221215,114713,118793,113742,115588
20221216,112382,114616,111411,111897
20221219,110925,113159,108497,111217
20221220,111022,113936,110343,111994
20221221,114811,115102,112771,113743
20221222,114131,115296,112771,114131
20221223,110731,111702,108108,108595
20221226,108594,111120,107914,110926
20221227,111314,114131,111022,111800
20221228,111000,111500,103600,105600
20221229,105600,106600,102700,103000
20230102,106000,111000,105600,110000
20230103,109500,114100,108500,114000
20230104,111100,114600,110800,114000
20230105,115200,115900,110100,110300
20230106,109200,112000,108400,109600
20230109,111900,112100,109600,110600
20230110,111100,112900,109000,109100
20230111,110100,116500,109900,116500
20230112,117800,117900,115200,116000
20230113,116200,117000,114300,115000
20230116,115600,118800,114700,116500
20230117,117200,119200,113600,114800
20230118,115800,116900,114500,114800
20230119,113800,114300,110900,111200
20230120,111100,113400,109500,112900
20230125,115000,118400,115000,117400
20230126,118900,124900,117400,124600
20230127,126600,126900,123600,124600
20230130,126300,129900,124900,126600
20230131,122800,124100,119000,122800
20230201,123500,129500,123500,128400
20230202,130500,132000,129400,131000
20230203,130800,142200,129100,137600
20230206,138500,149000,138200,146200
20230207,147200,178100,147000,165900
20230208,166200,176100,164200,172800
20230209,172700,196700,171500,191100
20230210,193100,199000,184700,188000
20230213,187000,199200,185000,196800
20230214,198700,199500,187800,197200
20230215,202000,221000,200500,213500
20230216,220500,242000,212500,239000
20230217,225500,238500,215000,220500
20230220,219000,238500,219000,236000
20230221,240500,251000,240000,248500
20230222,242000,252000,228500,237500
20230223,244000,247000,223500,242500
20230224,246000,250500,238000,242000
20230227,238500,283000,238000,280000
20230228,280000,295000,272500,285500
20230302,286500,309000,272000,275000
20230303,284500,299500,278000,299500
20230306,314000,318000,300500,309500
20230307,300500,306000,285500,292000
20230308,285000,336000,284500,334000
20230309,332000,333500,312000,327000
20230310,314500,319000,302000,308500
20230313,308500,364000,308500,361500
20230314,371000,400000,355000,371000
20230315,405000,454500,388500,448000
20230316,462500,472500,427000,438000
20230317,445000,445500,392500,399500
20230320,367000,412500,347500,403000
20230321,403000,432500,391000,420000
20230322,435000,460000,428000,453000
20230323,451500,495500,406500,455000
20230324,481000,481500,435000,456000
20230327,452000,461000,433500,439000
20230328,446000,449000,405500,433500
20230329,431500,499000,423000,498500
20230330,509000,531000,493000,498500
20230331,483000,506000,481000,498500
20230403,508000,518000,491000,499500
20230404,496000,502000,474000,475000
20230405,473000,520000,472500,515000
20230406,511000,535000,507000,522000
20230407,525000,579000,511000,579000
20230410,591000,744000,586000,722000
20230411,755000,820000,700000,769000
20230412,732000,757000,638000,640000
20230413,600000,673000,570000,607000
20230414,628000,634000,588000,611000
20230417,607000,630000,596000,617000
20230418,628000,670000,603000,656000
20230419,644000,655000,616000,616000
20230420,603000,624000,601000,609000
20230421,605000,611000,574000,574000
20230424,566000,621000,564000,598000
20230425,609000,619000,578000,597000
20230426,604000,618000,588000,599000
20230427,599000,709000,592000,709000
20230428,750000,791000,709000,730000
20230502,750000,778000,712000,733000
20230503,725000,729000,665000,669000
20230504,668000,703000,650000,683000
20230508,694000,696000,633000,638000
20230509,631000,643000,600000,623000
20230510,623000,629000,589000,590000
20230511,604000,622000,544000,550000
20230512,537000,560000,530000,544000
20230515,536000,539000,499000,521000
20230516,533000,561000,522000,551000
20230517,541000,579000,537000,568000
20230518,580000,589000,558000,565000
20230519,562000,564000,531000,532000
20230522,525000,568000,514000,567000
20230523,571000,593000,566000,570000
20230524,579000,581000,561000,567000
20230525,558000,570000,545000,547000
20230526,549000,559000,531000,542000
20230530,548000,550000,525000,546000
20230531,546000,570000,546000,563000
20230601,568000,570000,555000,562000
20230602,561000,579000,557000,567000
20230605,572000,574000,561000,566000
20230607,570000,662000,569000,662000
20230608,655000,689000,651000,658000
20230609,688000,700000,665000,670000
20230612,677000,698000,673000,692000
20230613,709000,753000,697000,749000
20230614,752000,790000,656000,667000
20230615,699000,722000,680000,710000
20230616,717000,742000,684000,740000
20230619,743000,782000,731000,772000
20230620,759000,799000,753000,765000
20230621,771000,789000,758000,762000
20230622,748000,776000,741000,762000
20230623,770000,772000,758000,758000
20230626,759000,777000,758000,761000
20230627,756000,760000,712000,738000
20230628,747000,752000,699000,700000
20230629,705000,735000,696000,714000
20230630,726000,760000,715000,754000
20230703,772000,919000,769000,908000
20230704,917000,934000,845000,886000
20230705,894000,958000,883000,943000
20230706,946000,982000,924000,941000
20230707,940000,980000,937000,980000
20230710,994000,1015000,941000,965000
20230711,974000,998000,958000,976000
20230712,970000,982000,909000,920000
20230713,908000,994000,883000,956000
20230714,967000,989000,952000,988000
20230717,1003000,1015000,985000,999000
20230718,1018000,1148000,1005000,1118000
20230719,1103000,1126000,1081000,1117000
20230720,1089000,1104000,1066000,1083000
20230721,1036000,1190000,1035000,1143000
20230724,1151000,1179000,1128000,1161000
20230725,1148000,1321000,1120000,1293000
20230726,1303000,1539000,1136000,1228000
20230727,1200000,1200000,961000,985000
20230728,956000,1111000,935000,1104000
20230731,1136000,1224000,1125000,1207000
20230801,1275000,1291000,1165000,1208000
20230802,1164000,1227000,1118000,1118000
20230803,1155000,1207000,1104000,1207000
20230804,1207000,1235000,1167000,1174000
20230807,1143000,1167000,1021000,1066000
20230808,1055000,1105000,1018000,1077000
20230809,1071000,1177000,1059000,1127000
20230810,1131000,1187000,1116000,1166000
20230811,1191000,1195000,1120000,1137000
20230814,1110000,1136000,1047000,1093000
20230816,1083000,1116000,1023000,1023000
20230817,1033000,1117000,1015000,1114000
20230818,1117000,1130000,1059000,1076000
20230821,1080000,1179000,1080000,1175000
20230822,1215000,1275000,1207000,1261000
20230823,1262000,1271000,1189000,1221000
20230824,1252000,1271000,1230000,1259000
20230825,1229000,1279000,1218000,1257000
20230828,1275000,1275000,1242000,1255000
20230829,1241000,1248000,1188000,1221000
20230830,1247000,1263000,1225000,1248000
20230831,1252000,1267000,1194000,1257000
20230901,1234000,1234000,1179000,1179000
20230904,1148000,1179000,1101000,1111000
20230905,1113000,1118000,1059000,1078000
20230906,1092000,1120000,1041000,1050000
20230907,1040000,1062000,997000,1006000
20230908,1008000,1022000,975000,1021000
20230911,1026000,1027000,980000,980000
20230912,994000,1000000,915000,930000
20230913,923000,945000,898000,899000
